Case : 33300, Assigments : 863303652, Comparisons : 554407235
Case : 33400, Assigments : 870575490, Comparisons : 557742185
Case : 33500, Assigments : 871141050, Comparisons : 561087135
Case : 33600, Assigments : 881972235, Comparisons : 564442085
Case : 33700, Assigments : 887291856, Comparisons : 567807035
Case : 33800, Assigments : 889372488, Comparisons : 571181985
Case : 33900, Assigments : 896158317, Comparisons : 574566935
Case : 34100, Assigments : 901764939, Comparisons : 581372725
Case : 34200, Assigments : 906263049, Comparisons : 584787675
Case : 34300, Assigments : 913672866, Comparisons : 588212625
Case : 34400, Assigments : 922117494, Comparisons : 591647575
Case : 34500, Assigments : 924067848, Comparisons : 595092525
Case : 34600, Assigments : 931952679, Comparisons : 598547475
Case : 34700, Assigments : 935009985, Comparisons : 602012425
Case : 34800, Assigments : 939268407, Comparisons : 605487375
Case : 34900, Assigments : 944983842, Comparisons : 608972325
Case : 35000, Assigments : 953044974, Comparisons : 612467275
Case : 35100, Assigments : 960197781, Comparisons : 615972225
Case : 35200, Assigments : 959002197, Comparisons : 619487175
Case : 35300, Assigments : 965948169, Comparisons : 623012125
Case : 35400, Assigments : 969958110, Comparisons : 626547075
Case : 35500, Assigments : 975681450, Comparisons : 630092025
Case : 35600, Assigments : 981303726, Comparisons : 633646975
Case : 35800, Assigments : 995083608, Comparisons : 640786347
Case : 35900, Assigments : 996087495, Comparisons : 644371297
Case : 36000, Assigments : 1001153937, Comparisons : 647966247
Case : 36100, Assigments : 1008190560, Comparisons : 651571197
Case : 36200, Assigments : 1015816008, Comparisons : 655186147
Case : 36300, Assigments : 1017079005, Comparisons : 658811097
Case : 36400, Assigments : 1030190154, Comparisons : 662446047
Case : 36500, Assigments : 1036207164, Comparisons : 666066564
Case : 36600, Assigments : 1039924227, Comparisons : 669721514
Case : 36700, Assigments : 1046784651, Comparisons : 673386464
Case : 36800, Assigments : 1056462234, Comparisons : 677061414
Case : 36900, Assigments : 1057834020, Comparisons : 680746364
Case : 37000, Assigments : 1065215412, Comparisons : 684441314
Case : 37100, Assigments : 1075161039, Comparisons : 688146264
Case : 37200, Assigments : 1082146140, Comparisons : 691861214
Case : 37300, Assigments : 1084468758, Comparisons : 695586164
Case : 37500, Assigments : 1096265643, Comparisons : 703105430
Case : 37600, Assigments : 1099936662, Comparisons : 706860380
Case : 37700, Assigments : 1102510455, Comparisons : 710625330
Case : 37800, Assigments : 1111983465, Comparisons : 714400280
Case : 37900, Assigments : 1119201630, Comparisons : 718185230
Case : 38000, Assigments : 1127027181, Comparisons : 721980180
Case : 38100, Assigments : 1130952501, Comparisons : 725785130
Case : 38200, Assigments : 1138559718, Comparisons : 729600080
Case : 38300, Assigments : 1143662385, Comparisons : 733425030
